author,country,birth
Machado de Assis,Brasil,1839.0
George Orwell,Reino Unido,1903.0
George Orwell,Reino Unido,1903.0
F. Scott Fitzgerald,Estados Unidos,1896.0
J.R.R. Tolkien,Reino Unido,1892.0
J.D. Salinger,Estados Unidos,1919.0
Fiodor Dostoievski,Rússia,1821.0
Lev Tolstói,Rússia,1828.0
Antoine de Saint-Exupéry,França,1900.0
C.S. Lewis,Reino Unido,1898.0
Franz Kafka,Áustria,1883.0
Ayn Rand,Rússia,1905.0
Alexandre Dumas,França,1802.0
Thomas Mann,Alemanha,1875.0
Oscar Wilde,Reino Unido,1854.0
João Guimarães Rosa,Brasil,1908.0
Cormac McCarthy,Estados Unidos,1933.0
Charles Dickens,Reino Unido,1812.0
Umberto Eco,Itália,1932.0
William Shakespeare,Reino Unido,1564.0
Ray Bradbury,Estados Unidos,1920.0
Gabriel García Márquez,Colômbia,1927.0
Harper Lee,Estados Unidos,1926.0
Harper Lee,Estados Unidos,1926.0
Franz Kafka,Áustria,1883.0
J.R.R. Tolkien,Reino Unido,1892.0
John Green,Estados Unidos,1977.0
Dan Brown,Estados Unidos,1964.0
